recipe_id,title,category,calories,url,ingredients
1,燕麥麥仔煎,中式,0,https://icook.tw/recipes/458512,"{'燕麥(即食燕麥片)': '1米杯', '鬆餅粉': '150g', '雞蛋': '1顆', '鮮奶或牛奶': '160cc', '熟黑芝麻': '2大匙', '花生糖粉': '3大匙'}"
2,冰釀番茄梅,中式,0,https://icook.tw/recipes/458270,"{'話梅': '15顆', '番茄': '1盒', '冰糖': '3大匙', '水': '500cc'}"
3,滷桂竹筍,中式,0,https://icook.tw/recipes/458655,"{'桂竹筍': '1000g', '福菜': '300g', '雞架子': '1副', '蒜頭': '3瓣', '薑片': '4片', '生辣椒': '1條', '鹽': '2小匙', '醬油': '1茶匙', '糖': '2小匙'}"
4,地瓜球,中式,564.3333333,https://icook.tw/recipes/458526,"{'地瓜': '500克', '木薯粉': '250克', '二砂': '90克', '水(必要時使用)': '大匙'}"
6,韓式海鮮煎餅,韓式,0,https://icook.tw/recipes/454777,"{'不倒翁煎餅粉': '200克', '開水': '3匙', '中型透抽（軟足類海鮮皆可)': '1隻', '洋蔥': '1/4顆', '蔥': '3根', '胡蘿蔔絲': '適量', '醬油': '2匙', '糖': '1匙', '白醋': '1匙', '香油': '1匙', '白芝麻、洋蔥碎、蔥花': '適量'}"
7,鮮翠泡桃,中式,0,https://icook.tw/recipes/458661,"{'桃子': '600克', '冰糖': '150克', '話梅': '5顆', '水': '300毫升', '鹽': '適量'}"
8,鷹嘴豆、乾燥豆類的料理筆記,西式,0,https://icook.tw/recipes/458558,{'鷹嘴豆': '300公克'}
9,蠔油牛肉紫菜粉絲卷,中式,0,https://icook.tw/recipes/459065,"{'1/2海苔片': '10片', '白芝麻（裝飾用）': '少許', '粉絲': '150公克', '紅蘿蔔': '1小塊', '蒜頭': '2瓣', '香油': '適量', '沙朗牛肉片': '150公克', '紹興酒': '2湯匙', '二砂': '3小匙', '鹽': '1小匙', '小蘇打': '1小匙', '李錦記舊庄特級蠔油': '1大匙', '李錦記頭道醇鮮醬油': '1大匙', '蛋白': '1顆的量', '玉米澱粉': '1湯匙', '水（醃製用）': '少許', '蛋黃': '1顆的量', '麵粉': '少許', '水': '1米杯'}"
10,百香芒果青,中式,462,https://icook.tw/recipes/458724,"{'青芒果': '600克', '百香果': '3顆', '話梅': '5顆', '汽水': '1罐', '鹽': '適量'}"
11,粉漿玉米蔥蛋餅,中式,0,https://icook.tw/recipes/458074,"{'雞蛋': '2顆', '青蔥': '2根', '玉米粒': '4大匙', '鹽': '1/4茶匙', '米酒': '1大匙', '黑胡椒': '1/10茶匙', '中筋麵粉': '3/4米杯', '木薯粉(太白粉)': '1/4米杯', '冷水': '1米杯'}"
12,金沙豆腐,中式,476,https://icook.tw/recipes/458185,"{'雞蛋豆腐': '1盒', '鹹蛋黃': '3顆', '鹹蛋白': '1顆', '蒜頭': '2瓣', '紅辣椒': '1根', '蔥': '1支', '米酒': '1大匙'}"
13,脆皮粉漿蛋餅,中式,233,https://icook.tw/recipes/450072,"{'中筋麵粉': '3大匙', '地瓜粉': '1大匙', '玉米粉（或太白粉）': '1大匙', '冷開水': '5大匙', '鹽': '1/4小匙', '蔥花': '少許', '雞蛋': '1顆'}"
14,超簡單的可樂紅燒肉,中式,0,https://icook.tw/recipes/458688,"{'全聯賣的五花肉': '2條', '薑片': '4片', '大蒜': '3瓣', '蔥2': '1支', '醬油': '2大匙', '米酒': '50毫升', '喝剩的可樂（也可以不加）': '100毫升', '水': '100毫升'}"
15,櫛瓜煎餅,中式,154.75,https://icook.tw/recipes/458328,"{'櫛瓜': '2根', '洋蔥(小)': '一顆', '高麗菜': '3片', '火腿': '3片', '中筋麵粉': '5大匙', '雞蛋': '2顆', '鹽': '適量'}"
16,壽喜燒花鈿鍋,日式,0,https://icook.tw/recipes/458915,"{'紅蘿蔔': '1條', '白蘿蔔': '1條', '青花菜': '1朵', '玉米筍': '1盒', '鴻禧菇': '1包', '雪白菇': '1包', '高麗菜': '1/4顆', '洋蔥': '1顆', '火鍋肉片': '1盒', '李錦記舊庄特級蠔油': '2大匙', '味醂': '2大匙', '水': '500毫升', '洋蔥泥': '30克', '蘿蔔泥': '30克', '鹽巴': '1匙'}"
17,蠔油香菇肉末豆腐粉絲煲,中式,0,https://icook.tw/recipes/458597,"{'豬絞肉(粗)': '100g', '板豆腐': '1盒(400g)', '粉絲(冬粉)': '3把', '乾香菇(大)': '2朵', '青蔥': '2根', '蒜頭': '3瓣', '辣椒(可略)': '0.5-1條', '水(含香菇水)': '3米杯(500cc)', '辣豆瓣醬': '2大匙', '李錦記舊庄特級蠔油': '1大匙'}"
18,剝皮辣椒雞湯,中式,0,https://icook.tw/recipes/458585,"{'剝皮辣椒': '7條', '鮮香菇': '5朵', '薑片': '7片', '雞腿肉': '1隻', '鹽巴': '1茶匙', '雞精': '1小匙'}"
19,烤香蕉,西式,250.5,https://icook.tw/recipes/458058,"{'香蕉': '2根', '雞蛋': '2顆', '白糖': '10克', '牛奶': '120毫升', '芝麻（灑表面）': '適量'}"
20,焗烤櫛瓜鑲肉,中式,0,https://icook.tw/recipes/458755,"{'李錦記舊庄特級蠔油': '1大匙', '圓櫛': '2顆', '彩椒': '20克', '洋蔥': '10克', '雞胸肉': '1片', '豆腐': '半塊', '起司絲': '20g', '黑胡椒粉': '5克', '巴西里末': '5克'}"
21,牛肉燴飯,中式,0,https://icook.tw/recipes/458343,"{'牛里肌或板腱': '450克', '空心菜': '250克', '洋蔥': '1顆', '蒜頭': '4瓣', '辣椒': '1根', '蔥': '2根', '白飯': '4碗', '醬油': '1.5湯匙', '醬油膏或蔭油': '1湯匙', '米酒': '0.5湯匙', '黑胡椒粉': '少許', '太白粉或玉米粉': '4茶匙', '香油': '1湯匙', '鹽': '2茶匙', '棕櫚糖或二砂': '1.5茶匙', '烏醋': '1湯匙'}"
22,桂竹筍炒肉末,中式,103.8333333,https://icook.tw/recipes/458620,"{'桂竹筍': '850克', '豬絞肉': '150克', '豆瓣醬': '2大匙', '李錦記舊庄特級蠔油': '2大匙', '醬油': '1大匙', '鹽': '1茶匙', '清水': '3碗'}"
23,炒麵,中式,0,https://icook.tw/recipes/458533,"{'肉絲': '200克', '蝦仁': '7尾', '洋蔥': '1/2個', '高麗菜': '十大片', '蒜頭切片': '2大匙', '韮黃': '一把', '蠔油': '2匙', '鹽': '2小匙'}"
24,台式椒麻雞,中式,0,https://icook.tw/recipes/458486,"{'土雞腿去骨': '2支', '酪梨油或習慣用油': '1.5大匙', '李錦記舊庄特級蠔油': '1小匙', '天時野櫻莓果醋': '2大匙', '檸檬汁': '30CC', '蒜瓣(中型)': '3瓣', '辣椒': '1/3根', '香菜': '2株', '白胡椒粉': '1/4小匙', '黑胡椒粒': '1/4小匙', '鹽': '1/4小匙', '地瓜粉': '1/2大匙'}"
25,香蕉酪梨 / 簡單早餐,西式,287.5,https://icook.tw/recipes/458682,"{'酪梨': '500克', '香蕉': '2根', '厚片吐司': '4片', '奇異果': '2顆', '冷凍覆盆莓': '30顆'}"
26,不罪惡香酥雞排 ,中式,0,https://icook.tw/recipes/458819,"{'去骨土雞腿': '2支', '油': '1小匙', '白胡椒粉': '1/2小匙', '五香粉': '1/2小匙', '鹽': '1/2小匙'}"
27,古早味油飯,中式,0,https://icook.tw/recipes/458647,"{'長糯米': '1杯', '圓糯米': '1杯', '蠔油': '2-4大匙', '白胡椒粉': '1小匙', '香油麻油': '2-4大匙', '蝦米': '4大匙', '米酒': '2大匙', '乾香菇泡水': '4大匙', '蒜塩': '1大匙'}"
28,蛋黃芋棗,中式,0,https://icook.tw/recipes/458120,"{'芋頭': '1磅', '煉乳': '4大匙', '二砂糖': '4大匙', '奶油': '2oz', '太白粉': '2大匙', '食用油': '適量', '鹹蛋黃': '1包'}"
29,台式蘿蔔糕,中式,0,https://icook.tw/recipes/458680,"{'白蘿蔔': '3000克', '水': '900cc', '在來米粉/蘿蔔糕粉': '1000克', '豬絞肉(細絞)': '450克', '竹山乾香菇(大)': '15朵', '蝦皮或蝦米': '4大匙', '油蔥酥': '4大匙', '李錦記舊庄特級蠔油': '3大匙', '白胡椒粉': '1小匙', '五香粉': '2小匙', '油': '1大匙'}"
30,香菇蝦仁鑲肉,中式,127.3333333,https://icook.tw/recipes/458634,"{'香菇': '6朵', '蝦仁': '6尾', '雞胸肉': '1片', '豆腐': '半盒', '李錦記舊庄特級蠔油': '1大匙', '芹菜末': '1支'}"
31,薑燒洋蔥豬肉絲,中式,0,https://icook.tw/recipes/457730,"{'豬肉絲': '600克', '洋蔥': '2小顆', '醬油': '1湯匙', '二砂糖': '1湯匙', '米酒': '1湯匙', '薑末薑泥': '1湯匙', '黑胡椒': '少許'}"
32,免揉超軟捲餅,西式,0,https://icook.tw/recipes/458443,"{'中筋麵粉': '300克', '鹽': '3克', '溫水': '240克', '白糖': '3克', '速發酵母': '3克', '芝麻（可省）': '適量'}"
33,椰香雞肉咖哩,印度式,0,https://icook.tw/recipes/459005,"{'雞里肌肉': '250g', '馬鈴薯': '400g', '紅蘿蔔(小)': '1條', '洋蔥(中)': '1顆', '蒜頭': '3瓣', '九層塔（可略）': '1株', '日式咖哩塊': '2-3塊', '水': '700cc', '小磨坊椰漿': '120cc', '黑胡椒粒': '1/10茶匙', '醬油膏': '1大匙', '鹽': '1／8茶匙', '米酒（料理酒）': '1大匙', '太白粉': '1大匙'}"
34,純鮮奶酪,西式,138.4285714,https://icook.tw/recipes/458565,"{'鮮奶': '300毫升', '鮮奶油': '250毫升', '吉利丁片': '3片', '白色細砂糖': '24克', '香草精': '少許', '布丁杯': '6 ～7個'}"
35,蠔油炒三鮮。家常菜,中式,0,https://icook.tw/recipes/457329,"{'蛤蜊': '150克', '高麗菜': '150克', '魷魚片': '100克', '豬肉片': '80克', '芹菜': '30克', '薑片': '10克', '辣椒': '1根', '五香粉': '1/4小匙', '李錦記舊庄特級蠔油': '1小匙', '太白粉': '1小匙', '米酒': '3大匙', '白胡椒粉': '1/4小匙'}"
36,囡囡們喜愛的薯仔牛肉碎,西式,0,https://icook.tw/recipes/458321,"{'馬鈴薯': '350-400g', '牛肉碎': '250g', '韓式烤肉醬': '3湯匙', '水': '2湯匙', '生粉': '1茶匙', '上湯': '150ml', '蒜/蒜茸': '一瓣', '芝蔴': '少量'}"
37,蒸瓜仔肉餅,中式,0,https://icook.tw/recipes/458177,"{'豬絞肉3肥7瘦': '300克', '醃瓜仔': '30克', '荸薺': '30克', '蒜頭': '2瓣', '雞蛋': '1顆', '蔥': '1根', '辣椒': '0.5根', '棕櫚糖或二砂': '1茶匙', '醬油': '1湯匙', '黑胡椒粉': '少許', '米酒': '少許'}"
